year,market,gross_import_gwh,gross_export_gwh
2030,Market_Wyoming,3187.253552661547,13522.386462179087
2030,Market_Utah,2198.104937876602,6467.8956536792275
2030,Market_FourCorners,2838.722521720644,8939.598647215884
2030,Market_NewMexico,639.1356535178762,1987.5769713683603
2030,Market_Nebraska,1884.3519385708128,6116.810081642139
2030,Market_EasternInterconnect,438.86918791751435,1229.1331060012694
2030,total,11186.437792264998,38263.400922085966
2035,Market_Wyoming,4118.608853031937,13187.939518648473
2035,Market_Utah,2501.061994083551,6449.14443894285
2035,Market_FourCorners,3123.072083652519,9050.93199113771
2035,Market_NewMexico,702.9483402779009,1999.1602489429997
2035,Market_Nebraska,2245.9320185831743,6239.433064914096
2035,Market_EasternInterconnect,476.99939921194965,1274.602519351721
2035,total,13168.622688841031,38201.21178193785
2040,Market_Wyoming,3763.6136189585304,13494.495631738688
2040,Market_Utah,2414.421277375734,6419.558613893407
2040,Market_FourCorners,3173.133974295358,8875.878609245296
2040,Market_NewMexico,719.3773336520783,1906.484147670057
2040,Market_Nebraska,2099.579058646125,6112.575699911353
2040,Market_EasternInterconnect,460.60644213120094,1255.730707876139
2040,total,12630.731705059026,38064.72341033494
2045,Market_Wyoming,1956.5540306918174,10849.058032700626
2045,Market_Utah,1065.375114997031,5158.118416908718
2045,Market_FourCorners,1559.5797549014253,7044.266872749018
2045,Market_NewMexico,348.9425588466904,1486.2784942639028
2045,Market_Nebraska,1081.9043485816271,4609.354806632474
2045,Market_EasternInterconnect,232.1321887933066,973.4530889909574
2045,total,6244.487996811898,30120.529712245698
2050,Market_Wyoming,0.0,18796.589852323577
2050,Market_Utah,0.0,8490.986790411485
2050,Market_FourCorners,0.0,11522.958076617251
2050,Market_NewMexico,0.0,2411.6196775537264
2050,Market_Nebraska,0.0,7695.907643499443
2050,Market_EasternInterconnect,0.0,1568.073040004166
2050,total,0.0,50486.135080409644
