year,status,condition,wall_s,objective,prm_slack_mw,prm_dual,co2_solved_mmt,co2_cap_mmt,co2_dual,net_interchange_twh
2030,ok,optimal,413.7011661529541,629186502.5216728,0.0,105851.75282893276,8.40459999999982,8.404599999999999,-0.0,27.07696312982097
2035,ok,optimal,198.10433864593506,-230254103.5535222,0.0,101659.60727756823,4.371283221179752,6.3034500000000016,-0.0,25.032589093096814
2040,ok,optimal,266.183801651001,-641020035.0224437,0.0,97585.9108054138,4.202300000000011,4.202299999999999,-0.0,25.43399170527591
2045,ok,optimal,333.33971524238586,-277426063.66195107,0.0,93512.21433325938,2.1011499999999925,2.101150000000002,-0.0,23.876041715433796
2050,ok,optimal,572.9427995681763,238083927.211746,2967.883994065891,-0.0,0.0,0.0,-55406.7363986382,50.48613508040965
