year,peak_mw,peak_ts,prm_pct,requirement_mw,accredited_mw,slack_mw,dual
2030,13187.514739298507,2018-06-28 13:00:00,15.7,15257.954553368374,15257.954553368374,0.0,105851.75282893276
2035,14710.492652066421,2018-06-28 13:00:00,13.9,16755.251130703655,16755.251130703655,0.0,101659.60727756823
2040,16423.555080028967,2018-06-28 13:00:00,13.9,18706.429236152995,18706.429236152995,0.0,97585.9108054138
2045,18351.204769925167,2018-06-28 13:00:00,13.9,20902.022232944764,20902.022232944764,0.0,93512.21433325938
2050,20521.164559370816,2018-06-28 13:00:00,13.9,23373.60643312336,26341.490427189252,2967.883994065891,-0.0
