year,capex_overnight,fom_existing,fom_vintage,fom_new,opex_instate,import_cost,export_revenue,annual_system_cost,annual_system_cost_ex_trade,lp_objective
2030,15227861222.83774,459797072.4516129,0.0,363063279.4268478,136411210.92809734,365500862.730791,1250201923.771201,15302431724.603888,16187132785.644297,629186502.5216728
2035,7613910270.258322,354515896.0,363063279.4268478,185113663.90904763,1654713.314150057,490034320.6386198,1421553742.2145922,7586738401.332396,8518257822.908367,-230254103.5535222
2040,3566450058.8908625,313855301.0,548176943.3358955,88434783.19018435,2740566.7103750072,483519730.7472177,1457163784.6571183,3546013599.2174172,4519657653.127317,-641020035.0224437
2045,6448213113.993907,226142816.0,636611726.5260799,158016752.86869925,4138307.2608857504,227965606.2417969,1099600931.2023318,6601487391.689037,7473122716.649572,-277426063.66195107
2050,22294201057.387276,145769440.0,794628479.3947792,547000595.8346388,164300.47573409433,0.0,1789306587.939509,21992457285.15292,23781763873.09243,238083927.211746
