year,bus,mean_lmp
2030,Denver,25.24213731650675
2030,North,25.24213731650675
2030,South,25.24213731650675
2030,Mountain,25.24213731650675
2030,East,25.24213731650675
2030,West,25.24213731650675
2030,Wyoming,32.67357040000002
2030,Utah,32.67357040000002
2030,FourCorners,32.67357040000002
2030,NewMexico,32.67357040000002
2030,Nebraska,32.67357040000002
2030,EasternInterconnect,32.67357040000002
2035,Denver,26.52698416861943
2035,North,26.52698416861943
2035,South,26.52698416861943
2035,Mountain,26.52698416861943
2035,East,26.52698416861943
2035,West,26.52698416861943
2035,Wyoming,37.2122683
2035,Utah,37.2122683
2035,FourCorners,37.2122683
2035,NewMexico,37.2122683
2035,Nebraska,37.2122683
2035,EasternInterconnect,37.2122683
2040,Denver,28.27004602289393
2040,North,28.27004602289393
2040,South,28.27004602289393
2040,Mountain,28.27004602289393
2040,East,28.27004602289393
2040,West,28.27004602289393
2040,Wyoming,38.281212999999994
2040,Utah,38.281212999999994
2040,FourCorners,38.281212999999994
2040,NewMexico,38.281212999999994
2040,Nebraska,38.281212999999994
2040,EasternInterconnect,38.281212999999994
2045,Denver,26.231100869080603
2045,North,26.231100869080603
2045,South,26.231100869080603
2045,Mountain,26.231100869080603
2045,East,26.231100869080603
2045,West,26.231100869080603
2045,Wyoming,36.50669299999999
2045,Utah,36.50669299999999
2045,FourCorners,36.50669299999999
2045,NewMexico,36.50669299999999
2045,Nebraska,36.50669299999999
2045,EasternInterconnect,36.50669299999999
2050,Denver,56.336080707486836
2050,North,56.336080707486836
2050,South,56.336080707486836
2050,Mountain,56.336080707486836
2050,East,56.336080707486836
2050,West,56.336080707486836
2050,Wyoming,56.45671507154787
2050,Utah,74.68840669438117
2050,FourCorners,74.68840669438117
2050,NewMexico,74.68840669438117
2050,Nebraska,74.68840669438117
2050,EasternInterconnect,74.68840669438117
