resource_set,technology,year,accredited_capacity_pct,accredited_capacity_pct_raw,interpolated,source
candidate,Solar:PV,2036,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2038,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2040,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2042,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2044,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2046,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2048,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2050,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2026,19.73,14.85,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2028,20.8,24.6,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2030,23.71,22.96,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2032,23.56,23.56,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2034,24.16,24.16,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2036,24.76,24.76,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2038,25.36,25.36,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2040,25.96,25.96,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2042,26.56,26.56,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2044,26.72,27.16,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2046,26.98,26.45,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2048,27.04,27.32,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2050,27.34,27.36,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2026,83.13,91.45,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2028,77.57,74.81,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2030,68.44,66.46,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2032,64.37,64.04,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2034,62.36,62.62,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2036,61.88,60.43,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2038,61.14,62.58,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2040,61.24,60.42,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2042,60.79,60.72,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2044,59.66,61.23,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2046,58.62,57.02,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2048,57.89,57.6,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Storage:Battery,2050,58.32,59.04,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar+Storage,2026,83.13,91.45,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2028,77.57,74.81,False,same_as_candidate_storage_battery_mar_cc
