zone,Residential,Commercial,Industry
Denver,0.5542923165273443,0.6306030191089318,0.524732976093114
East,0.028633684749226906,0.024540313613763888,0.06036397543460989
Mountain,0.02293727398314623,0.034152136618283854,0.01861003474326012
North,0.11534736910917881,0.10362817681537942,0.1481680191138722
South,0.19060358179002676,0.13174005348437778,0.13715004233586459
West,0.08818577384107694,0.07533630035926334,0.11097495227927906
