zone,growth_window_start_year,growth_window_end_year,summer_peak_demand_forecast_mw_idx_annual_growth,winter_peak_demand_forecast_mw_idx_annual_growth,net_demand_forecast_mwh_idx_annual_growth
Denver,2030,2034,0.026132707218265994,0.03622933898445191,0.0037808145642035385
East,2030,2034,0.021049037358533917,0.029026155424835443,0.004477718525570218
Mountain,2030,2034,0.02517034705419996,0.03488360498939813,0.00391578460390507
North,2030,2034,0.01871991308371035,0.025646395470084737,0.004784207981824995
South,2030,2034,0.017872388753815915,0.02587515052405087,0.005079139860619808
West,2030,2034,0.01883462315814044,0.025814051390778747,0.004769294486319131
