zone,Residential,Commercial,Industry
Denver,11470353.36759874,13436587.472884405,7814264.185152355
East,592536.5957582294,519558.6607773945,898933.5010429864
Mountain,474656.8372522933,723056.7075609865,277138.53446270374
North,2386962.6986609222,2193978.3497633827,2206501.397657625
South,3944291.4344524588,2789152.8542119386,2042422.9325109115
West,1824889.0662773554,1594992.9548018936,1652626.4491734162
