zone,lon,lat,wkt
Denver,-104.8819611795446,39.72056051186881,POINT(-104.8819611795446 39.72056051186881)
East,-102.97989831138268,39.05417999286102,POINT(-102.97989831138268 39.05417999286102)
Mountain,-106.42373272512005,39.91878592622138,POINT(-106.42373272512005 39.91878592622138)
North,-104.65374573860116,40.546254644294955,POINT(-104.65374573860116 40.546254644294955)
South,-105.26709589308294,38.026193024768816,POINT(-105.26709589308294 38.026193024768816)
West,-107.92542964647733,39.046868111015996,POINT(-107.92542964647733 39.046868111015996)
