year,status,condition,wall_s,objective,prm_slack_mw,prm_dual
2030,ok,optimal,405.56542778015137,1143444426.4991257,0.0,105851.75282893276
2035,ok,optimal,537.0629553794861,1135433815.86679,0.0,101659.60727756823
2040,ok,optimal,400.2789478302002,786165866.7964561,-3.637978807091713e-12,97585.9108054138
2045,ok,optimal,312.8619523048401,1143902770.5144796,3.637978807091713e-12,93500.74775582436
2050,ok,optimal,447.6562900543213,1082099421.4047623,3.637978807091713e-12,89180.2405697802
