year,bus,mean_lmp
2030,Denver,26.733179119930842
2030,North,26.733179119930842
2030,South,26.733179119930842
2030,Mountain,26.733179119930842
2030,East,24.46412839334293
2030,West,26.733179119930842
2035,Denver,29.733340132250227
2035,North,29.733340132250227
2035,South,29.733340132250227
2035,Mountain,29.733340132250227
2035,East,25.301478504576053
2035,West,29.733340132250227
2040,Denver,31.495010139292408
2040,North,31.495010139292408
2040,South,31.495010139292408
2040,Mountain,31.495010139292408
2040,East,27.02002417842025
2040,West,31.495010139292408
2045,Denver,29.921661325253186
2045,North,29.921661325253186
2045,South,29.921661325253186
2045,Mountain,29.921661325253186
2045,East,25.719465003887702
2045,West,29.921661325253186
2050,Denver,27.213799077314704
2050,North,27.213799077314704
2050,South,27.21379907731471
2050,Mountain,27.21379907731471
2050,East,25.518003906955105
2050,West,27.21379907731471
