year,kind,name,accredited_mw,net_firm_in_mw,load_at_tstar_mw,slack_mw,dual,from,to,flow_mw,limit_mw,at_bound
2050,zone,North,3456.5005726077065,-1320.7394755701353,1562.4974387291118,573.2636583084595,-0.0,,,,,
2050,zone,South,6689.007956778085,-1347.5000000000002,3606.9124326736637,1734.5955241044212,-0.0,,,,,
2050,zone,Mountain,2235.3370956759045,-1718.0,406.6157114558573,110.72138422004718,-0.0,,,,,
2050,zone,East,1606.0898753521642,-571.6,664.4062246577575,370.08365069440674,-0.0,,,,,
2050,zone,West,547.1303009538509,897.6,1380.9526445286351,63.77765642521581,-0.0,,,,,
2050,pipe,RA_pipe_South_West,,,,,,South,West,-63.5,63.5,True
2050,pipe,RA_pipe_East_South,,,,,,East,South,-484.4,484.4,True
2050,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2050,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2050,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,683.8,683.8,True
2050,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2050,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,961.1,961.1,True
2050,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,-73.1,73.1,True
2050,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-1912.2394755701353,4070.5,False
2050,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2050,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
