year,co2_path,cap_mmt,solved_mmt,in_state_mmt,import_mmt,slack_mmt,import_mwh,dual
2030,statutory,8.404599999999999,7.383998404723442,7.383998404723442,0.0,1.0206015952765561,0.0,-0.0
2035,statutory,6.3034500000000016,4.354244379175768,4.354244379175768,0.0,1.9492056208242339,0.0,-0.0
2040,statutory,4.202299999999999,4.202299999999903,4.202299999999903,0.0,9.592326932761353e-14,0.0,-17.793018119243087
2045,statutory,2.101150000000002,2.1011500000000116,2.1011500000000116,0.0,-9.769962616701378e-15,0.0,-151.42184933357225
2050,statutory,0.0,0.0,0.0,0.0,0.0,0.0,-62918.13537564325
