year,capex_overnight,fom_existing,fom_vintage,fom_new,opex_instate,import_cost,export_revenue,annual_system_cost,annual_system_cost_ex_trade,lp_objective
2030,7437068603.730046,459797072.4516129,0.0,186944676.54597795,440259704.38584334,0.0,0.0,8524070057.11348,8524070057.11348,1126426755.1322339
2035,7119873792.559462,354515896.0,186944676.54597795,179835493.15227708,449477353.78231823,0.0,0.0,8290647212.040034,8290647212.040034,1110893706.1057131
2040,3611184144.2006865,313855301.0,366780169.69825506,91146386.82761551,436346374.69025445,0.0,0.0,4819312376.416811,4819312376.416811,771930217.7892787
2045,11523534467.846865,226142816.0,457926556.5258706,286444401.7654662,216301277.55275574,0.0,0.0,12710349519.690958,12710349519.690958,1272476073.6635
2050,21236432459.000717,145769440.0,744370958.2913368,525995158.27092427,22473.513421757496,0.0,0.0,22652590489.076397,22652590489.076397,1946001692.3543255
