year,co2_path,cap_mmt,solved_mmt,in_state_mmt,import_mmt,slack_mmt,import_mwh,dual
2030,cap95,8.404599999999999,7.484940696955299,7.484940696955299,0.0,0.9196593030446998,0.0,-0.0
2035,cap95,6.8287375,4.598993904766961,4.598993904766961,0.0,2.229743595233039,0.0,-0.0
2040,cap95,5.252875,4.696478524461271,4.696478524461271,0.0,0.5563964755387296,0.0,-0.0
2045,cap95,3.6770125000000013,3.6770125000000395,3.6770125000000395,0.0,-3.8191672047105385e-14,0.0,-55.89414966781274
2050,cap95,2.101150000000002,2.1011500000000294,2.1011500000000294,0.0,-2.7533531010703882e-14,0.0,-150.71225482993992
