year,status,condition,wall_s,objective,prm_slack_mw,prm_dual,co2_solved_mmt,co2_cap_mmt,co2_dual
2030,ok,optimal,557.7297194004059,1143444426.499133,0.0,105851.75282893276,7.484940696955299,8.404599999999999,-0.0
2035,ok,optimal,579.912335395813,1135619661.7702014,0.0,101659.60727756823,4.598993904766961,6.8287375,-0.0
2040,ok,optimal,433.3352575302124,786499007.0078574,-3.637978807091713e-12,97585.9108054138,4.696478524461271,5.252875,-0.0
2045,ok,optimal,713.2008757591248,1196329271.3547528,0.0,93491.36601065012,3.6770125000000395,3.6770125000000013,-55.89414966781274
2050,ok,optimal,704.8881840705872,1020743565.9508148,1.0913936421275139e-11,89247.61277590413,2.1011500000000294,2.101150000000002,-150.71225482993992
