year,capex_overnight,fom_existing,fom_vintage,fom_new,opex_instate,import_cost,export_revenue,annual_system_cost,annual_system_cost_ex_trade,lp_objective
2030,13886183138.29819,459797072.4516129,0.0,331185283.0778979,152665538.31237462,310185357.287649,955236212.1393213,14184780177.288403,14829831032.140074,764452806.6164137
2035,7713989052.297521,354515896.0,331185283.0778979,187727137.35511914,3136276.07978333,595996097.1618049,1163979978.1063495,8022569763.865774,8590553644.81032,142864803.77506068
2040,5883356822.553039,313855301.0,518912420.43301696,133543550.72487691,2507723.7738789823,518502099.95976305,1305067206.0513313,6065610712.393243,6852175818.484812,-265461438.85014826
2045,6079138059.884298,226142816.0,652455971.157894,153325153.87577978,6282015.382245617,399340403.43197984,1087626032.7784185,6429058386.95378,7117344016.300219,-117775757.95081703
2050,7083679773.83539,145769440.0,799254535.1418868,179862462.59219536,20229631.60450161,205473874.00986063,1117135665.1605625,7317134052.0232725,8228795843.173974,-233279921.3299097
