year,market,gross_import_gwh,gross_export_gwh
2030,Market_Wyoming,2826.658450855841,10087.329551253759
2030,Market_Utah,1751.2232251723963,4711.522756724029
2030,Market_FourCorners,2495.4485168582164,6417.16720045978
2030,Market_NewMexico,578.3722915797049,1548.07050041686
2030,Market_Nebraska,1485.200512439225,5413.93920130416
2030,Market_EasternInterconnect,356.5607871336251,1057.7170044430873
2030,total,9493.463784039008,29235.746214601673
2035,Market_Wyoming,4997.780506585937,10892.494784360748
2035,Market_Utah,3077.163874046614,4821.740097614922
2035,Market_FourCorners,4295.484332250385,6755.735609215554
2035,Market_NewMexico,995.0275980072162,1693.874715424621
2035,Market_Nebraska,2157.1960192700735,5853.883439316038
2035,Market_EasternInterconnect,493.46612725197775,1261.7399616388436
2035,total,16016.118457412202,31279.46860757072
2040,Market_Wyoming,4127.117293000217,11837.599486837384
2040,Market_Utah,2708.7278565710376,5459.132098169938
2040,Market_FourCorners,3321.011939366022,7772.104460850313
2040,Market_NewMexico,895.2996331746202,1780.1496326547629
2040,Market_Nebraska,2023.3399488033178,5983.956241010873
2040,Market_EasternInterconnect,469.0610723246095,1258.6425360510943
2040,total,13544.557743239824,34091.58445557436
2045,Market_Wyoming,3498.4537839473405,10247.325925425843
2045,Market_Utah,2152.8700757688284,4518.429757341659
2045,Market_FourCorners,2852.371130474237,6366.091868410207
2045,Market_NewMexico,742.3988985163161,1451.0372072732914
2045,Market_Nebraska,1382.7697747223237,5986.845200019704
2045,Market_EasternInterconnect,309.9634560796938,1222.7804937474305
2045,total,10938.827119508738,29792.510452218132
2050,Market_Wyoming,2069.234515704221,11377.426193309666
2050,Market_Utah,1040.4355301199068,4644.987504292786
2050,Market_FourCorners,1464.7304620213029,6460.06043980233
2050,Market_NewMexico,375.8314628851395,1595.4556714598248
2050,Market_Nebraska,709.6883742282371,6183.948247812649
2050,Market_EasternInterconnect,137.62258517855062,1258.6352385804246
2050,total,5797.542930137357,31520.51329525768
