year,layer,component,name,bus,carrier,p_nom
2040,vintage,StorageUnit,Built_Storage:Battery_East_2035,East,Storage:Battery,217.55299639290035
2040,new_build,StorageUnit,Candidate_Storage:Battery_North,North,Storage:Battery,303.03886677059927
2045,existing,Generator,canyon_peak_power_station_GasCT_proposed,Denver,Gas:CT,133.2
2045,existing,Generator,rawhide_GasCT_proposed,North,Gas:CT,223.0
2045,existing,Generator,South_WACM_GasCT_small,South,Gas:CT,210.0
2045,existing,Generator,horizon_GasCT_proposed,South,Gas:CT,370.0
2045,existing,Generator,Denver_Hydro_agg,Denver,Hydro,25.5
2045,existing,Generator,Denver_Solar:PV_agg,Denver,Solar:PV,324.3
2045,existing,Generator,East_Solar:PV_agg,East,Solar:PV,101.5
2045,existing,Generator,East_Wind_pt1_agg,East,Wind,75.0
2045,existing,Generator,East_Wind_pt2_agg,East,Wind,2036.9
2045,existing,Generator,East_Wind_pt3_agg,East,Wind,352.1
2045,existing,Generator,Mountain_Hydro_agg,Mountain,Hydro,39.5
2045,existing,Generator,Mountain_Solar:PV_agg,Mountain,Solar:PV,7.0
2045,existing,Generator,North_Hydro_agg,North,Hydro,192.90000000000003
2045,existing,Generator,North_Solar:PV_agg,North,Solar:PV,317.40000000000003
2045,existing,Generator,North_Wind_pt1_agg,North,Wind,145.0
2045,existing,Generator,South_Hydro_agg,South,Hydro,47.1
2045,existing,Generator,South_Solar:PV_agg,South,Solar:PV,2467.86
2045,existing,Generator,South_Wind_pt1_agg,South,Wind,399.2
2045,existing,Generator,West_Hydro_agg,West,Hydro,362.7
2045,existing,Generator,West_Solar:PV_agg,West,Solar:PV,1441.6
2045,existing,Generator,cherokee__7_cc,Denver,Gas:CC,576.0
2045,vintage,Generator,Built_Wind_East_pt1_2030,East,Wind,2933.6317494184245
2045,vintage,Generator,Built_Wind_North_pt1_2030,North,Wind,6864.219488567803
2045,vintage,Generator,Built_Gas:CT_Denver_2030,Denver,Gas:CT,342.89755276803174
2045,vintage,Generator,Built_Gas:CT_North_2030,North,Gas:CT,1437.1086814088035
2045,vintage,Generator,Built_Wind_East_pt1_2035,East,Wind,575.077740202394
2045,vintage,Generator,Built_Wind_North_pt1_2035,North,Wind,785.898967643504
2045,vintage,Generator,Built_Gas:CT_Denver_2035,Denver,Gas:CT,3347.353376089715
2045,vintage,Generator,Built_Gas:CT_East_2035,East,Gas:CT,1626.8219606175112
2045,vintage,Generator,Built_Gas:CT_Mountain_2035,Mountain,Gas:CT,924.1447335244696
2045,vintage,Generator,Built_Solar:PV_Mountain_2040,Mountain,Solar:PV,78.73066689531314
2045,vintage,Generator,Built_Solar:PV_South_2040,South,Solar:PV,2945.615939244074
2045,vintage,Generator,Built_Solar:PV_West_2040,West,Solar:PV,1029.9184452878708
2045,vintage,Generator,Built_Wind_North_pt1_2040,North,Wind,177.37575905658127
2045,vintage,Generator,Built_Gas:CT_South_2040,South,Gas:CT,2662.294870302895
2045,new_build,Generator,Candidate_Solar:PV_South,South,Solar:PV,218.3279805802004
2045,new_build,Generator,Candidate_Wind_East_pt1,East,Wind,1251.342503388943
2045,new_build,Generator,Candidate_Wind_North_pt1,North,Wind,765.4477353212715
2045,new_build,Generator,Candidate_Gas:CT_Denver,Denver,Gas:CT,1703.025999344117
2045,new_build,Generator,Candidate_Gas:CT_South,South,Gas:CT,1930.8396791886214
2045,existing,StorageUnit,Denver_Hydro:Pumped_agg,Denver,Hydro:Pumped,340.0
2045,existing,StorageUnit,Mountain_Hydro:Pumped_agg,Mountain,Hydro:Pumped,230.0
2045,existing,StorageUnit,North_Hydro:Pumped_agg,North,Hydro:Pumped,8.5
2045,vintage,StorageUnit,Built_Storage:Battery_East_2035,East,Storage:Battery,217.55299639290035
2045,vintage,StorageUnit,Built_Storage:Battery_North_2040,North,Storage:Battery,303.03886677059927
2045,new_build,StorageUnit,Candidate_Storage:Battery_East,East,Storage:Battery,582.7328418993435
2050,existing,Generator,canyon_peak_power_station_GasCT_proposed,Denver,Gas:CT,133.2
2050,existing,Generator,rawhide_GasCT_proposed,North,Gas:CT,223.0
2050,existing,Generator,horizon_GasCT_proposed,South,Gas:CT,370.0
2050,existing,Generator,Denver_Hydro_agg,Denver,Hydro,25.5
2050,existing,Generator,Denver_Solar:PV_agg,Denver,Solar:PV,324.3
2050,existing,Generator,East_Solar:PV_agg,East,Solar:PV,89.4
2050,existing,Generator,East_Wind_pt2_agg,East,Wind,104.0
2050,existing,Generator,Mountain_Hydro_agg,Mountain,Hydro,10.0
2050,existing,Generator,Mountain_Solar:PV_agg,Mountain,Solar:PV,7.0
2050,existing,Generator,North_Hydro_agg,North,Hydro,192.90000000000003
2050,existing,Generator,North_Solar:PV_agg,North,Solar:PV,127.0
2050,existing,Generator,North_Wind_pt1_agg,North,Wind,145.0
2050,existing,Generator,South_Hydro_agg,South,Hydro,47.1
2050,existing,Generator,South_Solar:PV_agg,South,Solar:PV,2339.94
2050,existing,Generator,West_Hydro_agg,West,Hydro,362.7
2050,existing,Generator,West_Solar:PV_agg,West,Solar:PV,1441.6
2050,vintage,Generator,Built_Wind_East_pt1_2030,East,Wind,2933.6317494184245
2050,vintage,Generator,Built_Wind_North_pt1_2030,North,Wind,6864.219488567803
2050,vintage,Generator,Built_Gas:CT_Denver_2030,Denver,Gas:CT,342.89755276803174
2050,vintage,Generator,Built_Gas:CT_North_2030,North,Gas:CT,1437.1086814088035
2050,vintage,Generator,Built_Wind_East_pt1_2035,East,Wind,575.077740202394
2050,vintage,Generator,Built_Wind_North_pt1_2035,North,Wind,785.898967643504
2050,vintage,Generator,Built_Gas:CT_Denver_2035,Denver,Gas:CT,3347.353376089715
2050,vintage,Generator,Built_Gas:CT_East_2035,East,Gas:CT,1626.8219606175112
2050,vintage,Generator,Built_Gas:CT_Mountain_2035,Mountain,Gas:CT,924.1447335244696
