year,capex_overnight,fom_existing,fom_vintage,fom_new,opex_instate,import_cost,export_revenue,annual_system_cost,annual_system_cost_ex_trade,lp_objective
2030,13886183138.29819,459797072.4516129,0.0,331185283.0778979,152665538.31237462,484152536.63208973,1129203391.4837623,14184780177.2884,14829831032.140074,764452806.6164408
2035,7715188748.031882,354515896.0,331185283.0778979,187757093.39426032,3272628.796029793,593722680.8925439,1161810094.2380958,8023832235.954517,8591919649.30007,143003071.93501204
2040,5840262111.587481,313855301.0,518942376.4721582,133843822.94803488,2812786.2764965175,516662903.16043526,1318552703.991144,6007826597.453463,6809716398.284171,-283257590.087761
2045,5967505289.883666,226142816.0,652786199.4201932,149446919.09599382,7488006.88345761,534564545.692279,1210001756.859696,6327932020.115894,7003369231.283311,-114618883.80067323
2050,7241859044.823256,145769440.0,795680863.5743482,183819955.65896392,21176432.391237747,409140806.2370199,1322365998.1660244,7475080544.518802,8388305736.447806,-219697597.27203158
