year,status,condition,wall_s,objective,prm_slack_mw,prm_dual,net_interchange_twh
2030,ok,optimal,247.65553879737854,764452806.6164408,0.0,105851.75282893276,19.742282430562664
2035,ok,optimal,178.97582340240479,143003071.93501204,0.0,101659.60727756823,15.266132361663956
2040,ok,optimal,125.77704787254333,-283257590.087761,-7.275957614183426e-12,97585.9108054138,20.94734565570607
2045,ok,optimal,184.76335215568542,-114618883.80067323,0.0,93511.17191712893,18.50173641220849
2050,ok,optimal,317.4284303188324,-219697597.27203158,3.637978807091713e-12,89284.8831950299,25.76708246050421
