plant_id_eia,non_fuel_om_kw,actual_cf,capacity_mw
464,6.5058192972522235,0.021333417382531982,53.28666666666667
469,20.847582640975784,0.3375157971602914,1131.4
470,32.224283205619415,0.4390247961461303,1252.8
471,6.308786267470478,0.012077328470022533,26.626666666666665
525,30.967374068364023,0.38086241331803733,546.6433333333333
6021,64.5740456629224,0.5196893712551395,1007.8966666666665
6112,9.104669420540896,0.3306856298647778,1148.3666666666666
8067,6.178035714285715,0.01,100.8
55127,6.811098148148148,0.10879523930323018,270.0
55207,9.228228877796267,0.01381033302351653,180.30000000000004
55645,5.472249874308698,0.09883803460891831,397.8
55835,19.95083832043984,0.24853334746319075,685.1
