tech_class,atb_year,scenario,occ_per_kw,capex_per_kw,fixed_om_per_kw_yr,variable_om_per_mwh,heat_rate_mmbtu_per_mwh,atb_cf,debt_fraction,interest_rate_nominal,roe_nominal,tax_rate,wacc_nominal,crf,crf_source,crpyears,atb_technology,atb_techdetail,tax_credit_case,financing_source,hybrid_solar_occ_share,hybrid_battery_occ_share
Nuclear:SMR,2042,Moderate,4950.0,6016.36,136.0,2.6,9.18,0.93,0.4852,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2043,Moderate,4800.0,5837.65,136.0,2.6,9.18,0.93,0.4852,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2044,Moderate,4650.0,5658.95,136.0,2.6,9.18,0.93,0.4852,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2045,Moderate,4500.0,5480.25,136.0,2.6,9.18,0.93,0.4852,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2046,Moderate,4400.0,5361.11,136.0,2.6,9.18,0.93,0.4852,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2047,Moderate,4300.0,5241.98,136.0,2.6,9.18,0.93,0.4852,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2048,Moderate,4200.0,5122.84,136.0,2.6,9.18,0.93,0.4853,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2049,Moderate,4100.0,5003.7,136.0,2.6,9.18,0.93,0.4853,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Nuclear:SMR,2050,Moderate,4000.0,4884.57,136.0,2.6,9.18,0.93,0.4853,0.08,0.105,0.2574,0.0829,0.0586,atb_published,60,Nuclear,Nuclear - Small,ITC,Nuclear:SMR,,
Geothermal,2022,Moderate,9139.89,13414.91,199.96,,,0.8,0.5963,0.07,0.105,0.2574,0.0734,0.0612,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2023,Moderate,8798.52,12867.59,197.02,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0658,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2024,Moderate,8507.87,12397.28,194.07,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2025,Moderate,8255.92,11985.86,191.13,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2026,Moderate,8034.36,11620.78,188.19,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2027,Moderate,7837.23,11293.05,185.24,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2028,Moderate,7660.13,10995.98,182.3,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2029,Moderate,7499.7,10724.49,179.36,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2030,Moderate,7353.34,10474.64,176.41,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2031,Moderate,7219.0,10243.31,173.47,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2032,Moderate,7095.02,10027.99,170.53,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2033,Moderate,6980.07,9826.64,167.58,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2034,Moderate,6873.04,9637.58,164.64,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2035,Moderate,6773.01,9459.39,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2036,Moderate,6739.14,9412.78,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2037,Moderate,6705.45,9366.4,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2038,Moderate,6671.92,9320.26,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2039,Moderate,6638.56,9274.35,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2040,Moderate,6605.37,9228.66,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2041,Moderate,6572.34,9183.21,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2042,Moderate,6539.48,9137.98,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2043,Moderate,6506.78,9092.98,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2044,Moderate,6474.25,9048.2,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2045,Moderate,6441.88,9003.65,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2046,Moderate,6409.67,8959.32,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2047,Moderate,6377.62,8915.21,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2048,Moderate,6345.73,8871.32,161.7,,,0.8,0.5129,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2049,Moderate,6314.0,8827.65,161.7,,,0.8,0.513,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
Geothermal,2050,Moderate,6282.43,8784.2,161.7,,,0.8,0.513,0.07,0.105,0.2574,0.0778,0.0662,atb_published,30,Geothermal,NFEGSBinary,ITC,Geothermal,,
