datetime,Denver_cf,East_cf,Mountain_cf,North_cf,South_cf,West_cf
2018-04-21 09:30:00,0.14897544307002064,0.011035900088700317,0.06437809456436545,0.23384174443492842,0.5660776849414637,0.18703626381287733
2018-04-21 10:30:00,0.2811387481458446,0.17793677387623516,0.11905617717764691,0.3508498254858988,0.6465369705214639,0.28669056736112036
2018-04-21 11:30:00,0.2864546729844122,0.16720737196754717,0.34867465130940184,0.49338357907208086,0.6744009227111726,0.6199684204435207
2018-04-21 12:30:00,0.17931869492146757,0.3092965053751366,0.2816516274748111,0.2803099991146284,0.7099168142928657,0.38378210221611675
2018-04-21 13:30:00,0.10710781248733747,0.3225310966079294,0.1685953587719196,0.3685834202583489,0.6139759814910507,0.28069643050355986
2018-04-21 14:30:00,0.14888826277531855,0.4198035190863329,0.1835384384186161,0.28073183590131934,0.18722826948173582,0.6552461253368964
2018-04-21 15:30:00,0.0739426521889604,0.49051585619997967,0.10061366230665639,0.08875499138015411,0.2513158097344567,0.746268656716418
2018-04-21 16:30:00,0.027438298200497337,0.6955258434875271,0.13796340800203546,0.022746859636582052,0.4531829573339811,0.746268656716418
2018-04-21 17:30:00,0.03817606090495465,0.4098429195507332,0.05740781861861269,0.027060970774023717,0.05963443667007631,0.6269523608348032
2018-04-21 18:30:00,-0.0,-0.0,0.07439465929912802,-0.0,0.018054782144779916,0.11358303030853323
2018-04-21 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-21 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-21 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-21 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-21 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 05:30:00,0.05840544505120424,0.09604022409927641,0.020938709949673253,0.06677382672469419,0.028913784079165897,-0.0
2018-04-22 06:30:00,0.5327880479101524,0.04685193159170844,0.5110445889207941,0.5407015179405498,0.5647428427443286,0.46872563231707265
2018-04-22 07:30:00,0.7369427517731617,0.12012928359438148,0.7234654920522732,0.7338864622918561,0.746268656716418,0.7432926217229464
2018-04-22 08:30:00,0.746268656716418,0.37116313022318037,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418
2018-04-22 09:30:00,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418
2018-04-22 10:30:00,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418
2018-04-22 11:30:00,0.746268656716418,0.630131811686319,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418
2018-04-22 12:30:00,0.746268656716418,0.746268656716418,0.7430409698381334,0.746268656716418,0.6600885139236542,0.7211488003250944
2018-04-22 13:30:00,0.746268656716418,0.746268656716418,0.746268656716418,0.746268656716418,0.22979109574965495,0.6734525115198631
2018-04-22 14:30:00,0.746268656716418,0.5037893163853331,0.746268656716418,0.746268656716418,0.2323303110082613,0.6437291383545952
2018-04-22 15:30:00,0.746268656716418,0.746268656716418,0.658954886668108,0.746268656716418,0.23132470680870998,0.6940778146249055
2018-04-22 16:30:00,0.701352475354305,0.6966821543749948,0.6945112596683575,0.7065059911398588,0.7368520970985486,0.5079153919810574
2018-04-22 17:30:00,0.4805964084443843,0.41957315185372523,0.5325825584600838,0.48215609968329665,0.19737539423051498,0.19820052658722714
2018-04-22 18:30:00,0.019820148068540586,-0.0,0.00976834778904607,0.02179734419784195,0.0032852974247056226,0.058202449718350834
2018-04-22 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 05:30:00,0.0609542200248136,0.1026263061978476,0.019795645404078428,0.06712105230251231,0.004079167960038698,-0.0
2018-04-23 06:30:00,0.5205198061344781,0.570618615128551,0.47826175637711166,0.5061543570328703,0.37815787009218826,0.4583330684925192
2018-04-23 07:30:00,0.704306891870259,0.7285393290939823,0.6960605248320242,0.6842607637611476,0.746268656716418,0.746268656716418
2018-04-23 08:30:00,0.5729908216918504,0.746268656716418,0.746268656716418,0.26857520439520105,0.746268656716418,0.746268656716418
2018-04-23 09:30:00,0.4783277845591279,0.746268656716418,0.746268656716418,0.4951770860711305,0.6324962031871582,0.746268656716418
2018-04-23 10:30:00,0.5574449110506413,0.746268656716418,0.746268656716418,0.5823770925482468,0.6427553279326791,0.5584114379880792
2018-04-23 11:30:00,0.7330345802999337,0.746268656716418,0.6006238342424716,0.7253244465749227,0.5241872372311817,0.746268656716418
2018-04-23 12:30:00,0.7282512811442888,0.746268656716418,0.4872361730492625,0.7235167101416002,0.5502081755070011,0.746268656716418
2018-04-23 13:30:00,0.5420210174895255,0.5633163381961969,0.4930193670346862,0.5377984378244192,0.6880476117674937,0.746268656716418
2018-04-23 14:30:00,0.7425256023219226,0.746268656716418,0.37117582828660717,0.733694982577538,0.4610911469297456,0.746268656716418
2018-04-23 15:30:00,0.7318845195560101,0.746268656716418,0.746268656716418,0.24360023782019652,0.746268656716418,0.6620178783740629
2018-04-23 16:30:00,0.6130392756982611,0.6627331377870465,0.17131885218663306,0.6368621556977806,0.7006264922316299,0.3908209089295075
2018-04-23 17:30:00,0.15177146803155636,0.11456125049088782,0.17877806312275363,0.10060517664819667,0.4969510210180945,0.15213408648392193
2018-04-23 18:30:00,0.0030549424594842316,-0.0,0.005928005262292525,0.00347339341141235,0.005617642730355052,0.03198982712480427
2018-04-23 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 05:30:00,0.0010898747393189201,0.0012769050866714702,0.01995272659970903,0.003113883888292381,0.055284255659140275,-0.0
2018-04-24 06:30:00,0.4959242198264252,0.0043138357588461814,0.49462133049704965,0.011320120909407407,0.5414152244639887,0.07569898686923139
2018-04-24 07:30:00,0.010516431692460559,0.007968010217692093,0.3687669731594725,0.14103237018406517,0.0684240116320663,0.38211368787950845
2018-04-24 08:30:00,0.04172109605149079,0.0281308412713302,0.27750704393439657,0.09241576946282302,0.2440551355281554,0.746268656716418
2018-04-24 09:30:00,0.046561498838548286,0.08105824233143812,0.44250249907824946,0.22880889296438628,0.29171202934778045,0.746268656716418
2018-04-24 10:30:00,0.07741175328472875,0.14716921700616867,0.4779748354276204,0.41637308531973294,0.3433431843110321,0.746268656716418
2018-04-24 11:30:00,0.22627502664136098,0.22499767473793494,0.17427990892863585,0.4286498106444255,0.21555970060244883,0.688125570800688
2018-04-24 12:30:00,0.09795446552471605,0.21143854498621623,0.07122565761138537,0.5086850998208161,0.12148506992153245,0.7458834401863179
2018-04-24 13:30:00,0.20502624582433407,0.22773452901159003,0.10469121264654839,0.20168884607139614,0.20081994529726943,0.746268656716418
2018-04-24 14:30:00,0.09034787987582263,0.11204243583811008,0.030539824089236594,0.14610219279431633,0.05282999413229431,0.746268656716418
2018-04-24 15:30:00,0.09006458498192928,0.11514759888517889,0.2343120590788071,0.13158716300383985,0.03560475159817283,0.746268656716418
2018-04-24 16:30:00,0.06816902641475976,0.039635380833249176,0.12219548783403529,0.08870776415034716,0.011752852447741689,0.746268656716418
2018-04-24 17:30:00,0.0438743824054952,0.017615302662518345,0.0024347113906539116,0.09359050725755606,0.0367310697070546,0.6803689615040339
2018-04-24 18:30:00,-0.0,-0.0,0.01199122395732712,0.005619852584892079,-0.0,0.14431823177950365
2018-04-24 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 05:30:00,0.07578306037784889,0.1272593225870971,0.0325613879556107,0.08267656011232974,0.07042359084201921,0.013745900599223121
2018-04-25 06:30:00,0.5697788680578973,0.6145228575398203,0.5572303921045798,0.5843273574122415,0.6096405411623164,0.5445949470280805
