datetime,East_2018_wind_point1_cf,East_2018_wind_point2_cf,East_2018_wind_point3_cf,North_2018_wind_point1_cf,South_2018_wind_point1_cf
2018-01-01 00:00:00,0.3096106563207333,0.539173921177382,0.24648506940513396,0.07436822900644745,0.04574323660863041
2018-01-01 01:00:00,0.35000070711067793,0.34556090814857804,0.24068734411060103,0.09174877946509193,0.0
2018-01-01 02:00:00,0.4798196637260938,0.5066743697194845,0.31402468290680025,0.015206649493479631,0.0
2018-01-01 03:00:00,0.45481297806361937,0.21272851227179596,0.36601158920486326,0.032472486928545666,0.0
2018-01-01 04:00:00,0.403227017136793,0.14133141589158155,0.4991711138720584,0.05648826431346576,0.0
2018-01-01 05:00:00,0.6386956628219621,0.15326459785777485,0.33087516595314187,0.07286769004211953,0.0
2018-01-01 06:00:00,0.6298516743332534,0.15140760856883254,0.31371730168608625,0.039328061183495494,0.0
2018-01-01 07:00:00,0.5950557744308819,0.10068463518634792,0.46785516560916557,0.05124571570969529,0.0
2018-01-01 08:00:00,0.6486872896809919,0.0735662534946169,0.6039551317837981,0.22412057997917267,0.0
2018-01-01 09:00:00,0.479762892733694,0.03142723387449629,0.4042417757488517,0.3014029746181086,0.0
2018-01-01 10:00:00,0.656915313574427,0.026130191161627483,0.3368305201764859,0.1531997525907723,0.0
2018-01-01 11:00:00,0.9602506623307073,0.10377056610992035,0.3560665048780635,0.0006570572660840905,0.0
2018-01-01 12:00:00,0.9250197626876194,0.18371267155875604,0.6615847897256687,0.03170553964336748,0.0
2018-01-01 13:00:00,1.0,0.2251637894937406,0.5671175844920678,0.034366720233189825,0.0
2018-01-01 14:00:00,0.8450018974589357,0.20646435952148007,0.6000680355934072,0.09728568501650516,0.027020379969210032
2018-01-01 15:00:00,0.7990955631109794,0.18076583166316074,0.5593094105105535,0.1360246483634337,0.10637821712656906
2018-01-01 16:00:00,0.983518902923939,0.3691710404484056,0.7467209957240839,0.12054416591611138,0.05635796976363683
2018-01-01 17:00:00,1.0,0.31325087882248875,1.0,0.11049536220885404,0.2307525992174945
2018-01-01 18:00:00,1.0,0.656098910282928,1.0,0.1294084355347019,0.21271773712550932
2018-01-01 19:00:00,1.0,0.5495267467032388,1.0,0.35401849632805776,0.01944141315721466
2018-01-01 20:00:00,1.0,0.47284137451822245,0.7681799472944516,0.22675973883867467,0.0
2018-01-01 21:00:00,1.0,0.19986159968947595,0.46022181362338566,0.30008903574977286,0.0
2018-01-01 22:00:00,1.0,0.14421858462941176,0.417218019839929,0.23976993618097353,0.06785846881309945
2018-01-01 23:00:00,0.9339548997613996,0.04147356468448642,0.2530539334706941,0.12408466963146703,0.27265672299479454
2018-01-02 00:00:00,0.7832909291891137,0.011828475837568096,0.2000736740114845,0.13750667714422882,0.06482515913280322
2018-01-02 01:00:00,0.6945240771187773,0.039967574933323514,0.10944590808193463,0.15711512206835695,0.08715126395589523
2018-01-02 02:00:00,0.5497198472519694,0.07350117020496229,0.04856712972348498,0.5600183173335306,0.08694606242454013
2018-01-02 03:00:00,0.3595842129470625,0.06660190303907246,0.1489837195763379,0.8885564927590903,0.10708425385351356
2018-01-02 04:00:00,0.13979986770771766,0.14631198270862447,0.09091953046368788,0.8522233219254707,0.10221492816627513
2018-01-02 05:00:00,0.15492231622183483,1.0,0.04817258661950257,1.0,0.03710390944125199
2018-01-02 06:00:00,0.1047625988497828,1.0,0.23821591370537318,1.0,0.0
2018-01-02 07:00:00,0.7504217305819472,1.0,0.21814218160633703,1.0,0.0
2018-01-02 08:00:00,1.0,1.0,0.5150504647052806,1.0,0.023835395220625364
2018-01-02 09:00:00,0.5876016966087502,1.0,0.41915925574964863,1.0,0.0
2018-01-02 10:00:00,0.23265378426990355,0.6226925153095688,0.43205694697115815,1.0,0.0
2018-01-02 11:00:00,0.21098716924554348,0.20034379152353593,0.4655143497593008,0.5717970704112831,0.0
2018-01-02 12:00:00,0.23689175280454097,0.15217639844486963,0.49072522276066227,0.827522533700464,0.0
2018-01-02 13:00:00,0.12196525765329867,0.2234044850750648,0.9997310114797409,0.9009749273774211,0.0
2018-01-02 14:00:00,0.10854722269044456,0.5167038184632462,1.0,1.0,0.0
2018-01-02 15:00:00,0.2211813466210997,0.8593891385803382,1.0,1.0,0.029685498888554075
2018-01-02 16:00:00,0.1792747588942134,0.6401137130382273,1.0,1.0,0.0
2018-01-02 17:00:00,0.20470677358595343,0.4946977762539988,1.0,1.0,0.05442823859114348
2018-01-02 18:00:00,0.6002275740030337,0.5278297376751925,1.0,1.0,0.050533583452161454
2018-01-02 19:00:00,1.0,0.49177889824508203,1.0,1.0,0.0
2018-01-02 20:00:00,1.0,0.7285798658511585,1.0,1.0,0.0
2018-01-02 21:00:00,1.0,0.6434095030223929,1.0,1.0,0.030502510590386805
2018-01-02 22:00:00,1.0,0.41288402414417563,1.0,1.0,0.0
2018-01-02 23:00:00,1.0,0.20562254340999578,1.0,1.0,0.0
2018-01-03 00:00:00,1.0,0.14750425454521474,1.0,1.0,0.044457045502298474
2018-01-03 01:00:00,1.0,0.29019031165215436,1.0,1.0,0.049102911430015675
2018-01-03 02:00:00,1.0,0.563506252732334,1.0,1.0,0.20927825374238024
2018-01-03 03:00:00,0.959294196860952,0.6004859734999871,1.0,1.0,0.1943123608078444
2018-01-03 04:00:00,0.688677167086066,0.3905919395371751,1.0,1.0,0.15788122628730222
2018-01-03 05:00:00,0.5491869160863704,0.23387452749943152,1.0,1.0,0.10354690767935847
2018-01-03 06:00:00,0.5321713445077927,0.25464209101092666,1.0,1.0,0.09257442022130138
2018-01-03 07:00:00,0.30173246320873903,0.11840455603238956,0.9696769611436289,1.0,0.03868882985834098
2018-01-03 08:00:00,0.19941285272700937,0.07088394862233789,1.0,1.0,0.020928794592164006
2018-01-03 09:00:00,0.10704697954972937,0.0,0.534972078938324,1.0,0.0
2018-01-03 10:00:00,0.0,0.0,0.18193397017424703,0.8606131303703051,0.0
2018-01-03 11:00:00,0.0,0.0,0.06630117135564793,0.3318942575526489,0.0
2018-01-03 12:00:00,0.0,0.00044573334455954715,0.04201497904167142,0.11412938083882568,0.0
2018-01-03 13:00:00,0.0,0.0,0.040440767436151194,0.025191684662746752,0.09166541706974321
2018-01-03 14:00:00,0.0,0.0,0.027015736747869615,0.062490811452447434,0.06286667103268118
2018-01-03 15:00:00,0.00764609540827386,0.0,0.0,0.07249902277689568,0.08574192615326527
2018-01-03 16:00:00,0.058282106614623255,0.03139656284604128,0.0,0.033346387257033254,0.17185050740252078
2018-01-03 17:00:00,0.31957558117723134,0.11962702455806834,0.0,0.20315557611563304,0.3645391567584003
2018-01-03 18:00:00,0.6074023849131486,0.2102341032361394,0.2967219976607421,0.12092631839828422,0.2530748523995338
2018-01-03 19:00:00,0.8330018152118555,0.2747978455461489,0.17521008052949824,0.13132337046138953,0.02478691606910894
2018-01-03 20:00:00,1.0,0.26728001835105425,0.22077131276541428,0.03628011043421725,0.0
2018-01-03 21:00:00,0.6953339766215528,0.16054534715502147,0.20141400359103742,0.0,0.03844145031474115
2018-01-03 22:00:00,1.0,0.1554250918985497,0.10244466529953923,0.0,0.04067081452406196
2018-01-03 23:00:00,1.0,0.03078005423775634,0.1724690137599276,0.0,0.020358712122364807
2018-01-04 00:00:00,0.9826165306118593,0.0,0.13075101933934094,0.0,0.03498862749759731
2018-01-04 01:00:00,0.12671474940650956,0.0,0.13769517143356083,0.0,0.0
2018-01-04 02:00:00,0.03741125065856198,0.0,0.10778572254051687,0.0,0.0
2018-01-04 03:00:00,0.1060018166630947,0.0,0.08641011730403417,0.42870145700440887,0.0
2018-01-04 04:00:00,0.10036629238663723,0.022039836616981043,0.3090973925146127,0.4533749375054828,0.03843134275109927
2018-01-04 05:00:00,0.10432370698629458,1.0,0.26583130060327176,1.0,0.05239520997821285
2018-01-04 06:00:00,0.1497375496053209,1.0,0.14949281666467748,1.0,0.06399845487534268
2018-01-04 07:00:00,0.2484287959691795,1.0,0.3503960939439286,1.0,0.03648254104158389
2018-01-04 08:00:00,0.537189474336444,1.0,0.4484121762587853,1.0,0.12641885904411143
2018-01-04 09:00:00,0.323791366767987,1.0,0.61933848086352,0.4946653404125806,0.05025239259428323
2018-01-04 10:00:00,0.1378535206465055,0.5076488578298631,0.1890944124107758,0.37905550549967393,0.0
2018-01-04 11:00:00,0.11378476442831129,0.16578377145559253,0.21722674667771738,0.2728070135867953,0.0
2018-01-04 12:00:00,0.011868049717425189,0.1674700338095116,0.26319452317102165,0.14507840016490317,0.0
2018-01-04 13:00:00,0.03275839485597256,0.03560496294012455,0.33354890643718044,0.15682451061771205,0.0
2018-01-04 14:00:00,0.04697150618884613,0.04334111214749185,0.2446523579133577,0.06188341220219275,0.007594429274307118
2018-01-04 15:00:00,0.05258673767780946,0.021840092629581326,0.23389856390008285,0.016629576696619665,0.08186215887276876
2018-01-04 16:00:00,0.10211033503743291,0.0017172558390075967,0.2056551674405648,0.006490848212495962,0.144804491989775
2018-01-04 17:00:00,0.042401905749915404,0.054002532996942514,0.1630793927866588,0.0,0.1939330926500257
2018-01-04 18:00:00,0.0,0.09432571694696579,0.10136163343651117,0.0,0.2566063601801355
2018-01-04 19:00:00,0.0,0.18756879852895714,0.045793760094379445,0.0,0.2467121509128662
2018-01-04 20:00:00,0.0,0.041404721505936076,0.0,0.025980202970393957,0.0
2018-01-04 21:00:00,0.0,0.0,0.0,0.12070423360537476,0.0440341835409699
2018-01-04 22:00:00,0.0,0.0,0.054456368426266444,0.2115722490114023,0.028479635883435304
2018-01-04 23:00:00,0.0,0.0,0.1323154880937302,0.4663763394851473,0.0
2018-01-05 00:00:00,0.021792572497616087,0.007568555820379933,0.04118787499537844,0.3458533605434762,0.054084549956385446
2018-01-05 01:00:00,0.01917461222661088,0.07385467094250335,0.2082847235929318,0.3372054532155524,0.11576299771741576
2018-01-05 02:00:00,0.06888176666169515,0.10011672895636839,0.31185835389437794,0.25397175241439923,0.12509314763651377
2018-01-05 03:00:00,0.06503319755214837,0.1329503776919918,0.45544000170358473,0.08516223841914261,0.041722876135978554
2018-01-05 04:00:00,0.09103578093372862,0.13496793434458262,0.37939986582093904,0.15058294602807343,0.024117143265095724
2018-01-05 05:00:00,0.056958795517018074,0.043579334415316015,0.14974684837624236,1.0,0.0
2018-01-05 06:00:00,0.20113555842692804,0.13071406003274275,0.2788949426971018,1.0,0.04753888501755582
2018-01-05 07:00:00,0.26114756098932035,0.04893392540904764,0.21099291974231332,1.0,0.0
2018-01-05 08:00:00,0.2721078023632361,0.05990187313793111,0.17630873175493214,1.0,0.0
2018-01-05 09:00:00,0.3631834348256061,0.07052325585792149,0.15682968821524013,0.678260249841385,0.010534259415648345
2018-01-05 10:00:00,0.3761149359926133,0.0,0.014868646894098675,0.3364248913122701,0.0
2018-01-05 11:00:00,0.5607757686628078,0.0,0.0,0.11140013379874464,0.0
2018-01-05 12:00:00,0.3673470562836798,0.06581535529382612,0.0,0.20079490306890443,0.0
2018-01-05 13:00:00,0.21291043076640706,0.0938751827383758,0.0,0.1208605667834009,0.0
2018-01-05 14:00:00,0.13803008314690116,0.06060357524425532,0.0,0.14770365408511762,0.0
2018-01-05 15:00:00,0.12578825838546573,0.062215518121864,0.0,0.23228256501022043,0.0
2018-01-05 16:00:00,0.20061726530340676,0.0,0.10015834092637431,0.030419267013340155,0.019852125703981434
2018-01-05 17:00:00,0.2560110901424964,0.013240575271892567,0.22886710851373315,0.0,0.5732993662050646
2018-01-05 18:00:00,0.876557100150059,0.06922451144025839,0.5299807294601712,0.03250810622338768,0.1557399178288225
2018-01-05 19:00:00,0.6390015845988443,0.0,0.35475005822868844,0.0882818676547391,0.09351775953171121
2018-01-05 20:00:00,0.6172911049892496,0.056661112032413447,0.20008145566040994,1.0,0.0
2018-01-05 21:00:00,0.33419471488191493,0.030740042566266255,0.16657826367503814,0.5378794550698406,0.0
2018-01-05 22:00:00,0.4109023854222972,0.006915043466272361,0.09907129118096573,0.1648383187049407,0.0
2018-01-05 23:00:00,0.4302759742776393,0.0,0.1078543622343096,0.17000660362054024,0.0
2018-01-06 00:00:00,0.5221032024610985,0.0,0.12315389487660354,0.09928053501840493,0.0
2018-01-06 01:00:00,0.0,0.0,0.15116699199450825,0.06568987084249397,0.0
2018-01-06 02:00:00,0.0,0.0,0.23356755292071119,0.8144684358209421,0.0
2018-01-06 03:00:00,0.0,0.0,0.26788509934373755,1.0,0.0
