year,kind,name,accredited_mw,net_firm_in_mw,load_at_tstar_mw,slack_mw,dual,from,to,flow_mw,limit_mw,at_bound
2050,zone,Denver,6803.609984175356,6096.170123150434,12899.780107325789,1.8189894035458565e-12,-0.0,,,,,
2050,zone,North,7257.443081903242,-3479.0,1562.4974387291118,2215.9456431741305,-0.0,,,,,
2050,zone,South,8494.222283008203,-1090.8466210819122,3606.9124326736637,3796.4632292526267,-0.0,,,,,
2050,zone,Mountain,473.889304305999,-67.27359285014171,406.6157114558573,0.0,-0.0,,,,,
2050,zone,East,3171.155607300389,-1540.4,664.4062246577575,966.3493826426313,-0.0,,,,,
2050,zone,West,1299.6025537470148,81.35009078162034,1380.9526445286351,0.0,-0.0,,,,,
2050,pipe,RA_pipe_South_West,,,,,,South,West,63.5,63.5,True
2050,pipe,RA_pipe_East_South,,,,,,East,South,484.4,484.4,True
2050,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2050,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2050,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,98.65337891808775,683.8,False
2050,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2050,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,17.850090781620338,961.1,False
2050,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,49.22987684956638,73.1,False
2050,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-4070.5,4070.5,True
2050,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2050,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
