year,co2_path,cap_mmt,solved_mmt,in_state_mmt,import_mmt,slack_mmt,import_mwh,dual
2030,statutory,8.404599999999999,7.484940696955299,7.484940696955299,0.0,0.9196593030446998,0.0,-0.0
2035,statutory,6.3034500000000016,4.598993904766961,4.598993904766961,0.0,1.7044560952330405,0.0,-0.0
2040,statutory,4.202299999999999,4.202300000000021,4.202300000000021,0.0,-2.1316282072803006e-14,0.0,-16.88239689868402
2045,statutory,2.101150000000002,2.1011500000000405,2.1011500000000405,0.0,-3.863576125695545e-14,0.0,-197.587003833162
2050,statutory,0.0,0.0,0.0,0.0,0.0,0.0,-14746.987538775718
