year,status,condition,wall_s,objective,prm_slack_mw,prm_dual,co2_solved_mmt,co2_cap_mmt,co2_dual
2030,ok,optimal,455.43464064598083,1143444426.499133,0.0,105851.75282893276,7.484940696955299,8.404599999999999,-0.0
2035,ok,optimal,571.9205062389374,1135619661.7702014,0.0,101659.60727756823,4.598993904766961,6.3034500000000016,-0.0
2040,ok,optimal,444.7052526473999,791790533.703984,0.0,97585.9108054138,4.202300000000021,4.202299999999999,-16.88239689868402
2045,ok,optimal,535.8348090648651,1317684937.574008,0.0,93497.62050743299,2.1011500000000405,2.101150000000002,-197.587003833162
2050,ok,optimal,139.86547589302063,2383695655.489485,4126.316381316843,-0.0,0.0,0.0,-14746.987538775718
