resource_name,zone,tech_type,status_category,group_type,is_grouped,unit_count,nameplate_mw,summer_mw,storage_mwh,max_charge_mw,max_discharge_mw,commission_date,retirement_date,encompass_cf_shape,plant_codes,generator_ids,plant_name,energy_source,prime_mover,ba_code,filter_source
East_Wind_pt3_PSCO_existing,East,Wind,operating,renewable_zone,True,9,1345.8,1324.5,,,,,,East_Wind_pt3_CF,56320; 56563; 56613; 57290; 58769; 59975; 62952,1; CRW01; CW1; GE; SCIII; SIEM,,WND,WT,PSCO,CO+BA
East_Wind_pt3_WACM_existing,East,Wind,operating,renewable_zone,True,4,352.7,352.1,,,,,,East_Wind_pt3_CF,57174; 57244; 65059,CHW1; CHW2; KCW; WNIYO,,WND,WT,WACM,CO+BA
Mountain_PSCO_GasCT_small,Mountain,Gas:CT,operating,small_group,True,2,6.4,5.2,,,,,,,54630,T-1; T-2,,NG,GT,PSCO,CO+BA
Mountain_PSCO_GasIC_small,Mountain,Gas:IC,operating,small_group,True,2,3.2,2.4,,,,,,,54630,D-1; D-2,,DFO,IC,PSCO,CO+BA
Mountain_PSCO_Hydro_small,Mountain,Hydro,operating,small_group,True,4,10.5,10.0,,,,,,,10421; 50435; 60119; 7458,1; GEN1; SUG1,,WAT,HY,PSCO,CO+BA
Mountain_WACM_Hydro_small,Mountain,Hydro,operating,small_group,True,4,29.5,29.5,,,,,,,10422; 516,1; 2; GEN1; GEN2,,WAT,HY,WACM,CO+BA
mount_elbert__1,Mountain,Hydro:Pumped,operating,individual_tech,False,1,100.0,115.0,,,,1981-06-01,,,6208,1,Mount Elbert,WAT,PS,WACM,CO+BA
mount_elbert__2,Mountain,Hydro:Pumped,operating,individual_tech,False,1,100.0,115.0,,,,1984-02-01,,,6208,2,Mount Elbert,WAT,PS,WACM,CO+BA
Mountain_WACM_SolarPV_existing,Mountain,Solar:PV,operating,renewable_zone,True,3,7.0,7.0,,,,,,Mountain_Solar_CF,63163; 63164; 65084,PTKN; SIFRS; WHSKY,,SUN,PV,WACM,CO+BA
rawhide__1,North,Coal,operating,individual_tech,False,1,293.6,280.0,,,,1984-04-01,2029-12-01,,6761,1,Rawhide,SUB,ST,PSCO,CO+BA
North_PSCO_GasCC_small,North,Gas:CC,operating,small_group,True,4,231.39999999999998,130.0,,,,,,,10682; 50707,ST2; ST4; STA; STB,,NG,CA,PSCO,CO+BA
fort_st_vrain__1,North,Gas:CC,operating,large_thermal,False,1,342.6,308.0,,,,1998-07-01,,,6112,1,Fort St Vrain,NG,CA,PSCO,CO+BA
rocky_mountain_energy_center__STG1,North,Gas:CC,operating,large_thermal,False,1,334.9,300.0,,,,2004-05-01,,,55835,STG1,Rocky Mountain Energy Center,NG,CA,PSCO,CO+BA
North_PSCO_GasCT_small,North,Gas:CT,operating,small_group,True,13,776.5999999999999,430.0,,,,,,,10682; 50707; 6761; 8067,1; 2; A; B; C; D; GT3; GT4; GT5; LMB; LMC; LMD; LME,,NG,CT,PSCO,CO+BA
fort_st_vrain__2,North,Gas:CT,operating,large_thermal,False,1,175.1,150.0,,,,1996-05-01,,,6112,2,Fort St Vrain,NG,CT,PSCO,CO+BA
fort_st_vrain__3,North,Gas:CT,operating,large_thermal,False,1,175.1,142.0,,,,1999-01-01,,,6112,3,Fort St Vrain,NG,CT,PSCO,CO+BA
fort_st_vrain__4,North,Gas:CT,operating,large_thermal,False,1,175.1,142.0,,,,2001-06-01,,,6112,4,Fort St Vrain,NG,CT,PSCO,CO+BA
fort_st_vrain__5,North,Gas:CT,operating,large_thermal,False,1,140.3,140.0,,,,2009-05-01,,,6112,5,Fort St Vrain,NG,GT,PSCO,CO+BA
