year,status,condition,wall_s,objective,prm_slack_mw,prm_dual,co2_solved_mmt,co2_cap_mmt,co2_dual,net_interchange_twh
2030,ok,optimal,424.36009073257446,764452806.6164137,0.0,105851.75282893276,8.404599999999833,8.404599999999999,-0.0,19.742282430562668
2035,ok,optimal,129.46437740325928,142864803.77506068,3.637978807091713e-12,101659.60727756823,5.329137411342315,6.3034500000000016,-0.0,15.263350150158523
2040,ok,optimal,314.84350180625916,-265461438.85014778,130.56419752231886,-0.0,4.202299999999995,4.202299999999999,-0.0,20.54702671233454
2045,ok,optimal,376.4931147098541,-117769447.60060902,0.0,93512.21433325938,2.1011499999999956,2.101150000000002,-0.3524146047690522,19.18259474267222
2050,ok,optimal,558.8239939212799,711982631.9946502,4954.036707404022,-0.0,0.0,0.0,-35226.6379886624,48.23115779827699
