year,capex_overnight,fom_existing,fom_vintage,fom_new,opex_instate,import_cost,export_revenue,annual_system_cost,annual_system_cost_ex_trade,lp_objective
2030,13886183138.29819,459797072.4516129,0.0,331185283.0778979,152665538.31237462,310185357.287649,955236212.1393213,14184780177.288403,14829831032.140074,764452806.6164137
2035,7713989052.297521,354515896.0,331185283.0778979,187727137.35511914,3136276.07978333,595996097.1618049,1163979978.1063495,8022569763.865774,8590553644.81032,142864803.77506068
2040,5883356822.553039,313855301.0,518912420.43301696,133543550.72487691,2507723.7738789823,483531951.6077458,1270097057.699314,6065610712.393244,6852175818.484812,-265461438.85014778
2045,6220986983.112017,226142816.0,652455971.157894,156376535.09945285,6099615.980883355,225736246.73832855,926029343.9524772,6561768824.136099,7262061921.350247,-117769447.60060902
2050,25811971182.366444,145769440.0,802305916.3655598,701924672.6578754,73701310.22093788,0.0,1709386710.9248087,25826285810.68601,27535672521.610817,711982631.9946502
